Abo,Poison,,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/23/regular.png
Arcko,Plante,,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/252/regular.png
Axoloto,Eau,Sol,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/194/regular.png
Azumarill,Eau,Fée,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/184/regular.png
Azurill,Normal,Fée,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/298/regular.png
Balignon,Plante,,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/315/regular.png
Bulbizarre,Plante,Poison,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/1/regular.png
Carapuce,Eau,,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/7/regular.png
Coconfort,Insecte,Poison,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/14/regular.png
Dialga,Acier,Dragon,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/483/regular.png
Dracaufeu,Feu,Vol,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/6/regular.png
Drattak,Dragon,Vol,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/149/regular.png
Ectoplasma,Spectre,Poison,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/94/regular.png
Florizarre,Plante,Poison,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/3/regular.png
Galopa,Feu,,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/78/regular.png
Goupix,Feu,,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/37/regular.png
Kyogre,Eau,,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/382/regular.png
Lugia,Psy,Vol,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/249/regular.png
Léviator,Eau,Vol,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/130/regular.png
Magicarpe,Eau,,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/129/regular.png
Mewtwo,Psy,,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/150/regular.png
Nidoking,Poison,Sol,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/34/regular.png
Noctali,Ténèbres,,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/197/regular.png
Piafabec,Normal,Vol,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/21/regular.png
Pichu,Électrik,,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/172/regular.png
Pikachu,Électrik,,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/25/regular.png
Raichu,Électrik,,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/26/regular.png
Rattata,Normal,,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/19/regular.png
Rayquaza,Dragon,Vol,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/384/regular.png
Ronflex,Normal,,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/143/regular.png
Sabelette,Sol,,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/27/regular.png
Salamèche,Feu,,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/4/regular.png
Sulfura,Feu,Vol,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/146/regular.png
Tortank,Eau,,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/9/regular.png
Torterra,Plante,Sol,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/389/regular.png
Tortipouss,Plante,,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/387/regular.png
Tyranocif,Roche,Ténèbres,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/248/regular.png
Vipélierre,Plante,,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/495/regular.png
Zygarde,Dragon,Sol,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/718/regular.png
Évoli,Normal,,https://raw.githubusercontent.com/Yarkis01/TyraDex/images/sprites/133/regular.png
